1,BlackPearl,cc:a4:62:83:4b:c0,-47,-47,-47,-54,-48.75
2,BlackPearl,cc:a4:62:83:4b:c0,-55,-50,-55,-56,-54.0
3,BlackPearl,cc:a4:62:83:4b:c0,-45,-44,-46,-44,-44.75
4,BlackPearl,cc:a4:62:83:4b:c0,-48,-46,-49,-51,-48.5
5,BlackPearl,cc:a4:62:83:4b:c0,-56,-49,-48,-54,-51.75
6,BlackPearl,cc:a4:62:83:4b:c0,-69,-46,-61,-69,-61.25
7,BlackPearl,cc:a4:62:83:4b:c0,-70,-69,-72,-69,-70.0
8,BlackPearl,cc:a4:62:83:4b:c0,-49,-56,-55,-45,-51.25
9,BlackPearl,cc:a4:62:83:4b:c0,-30,-35,-29,-30,-31.0
10,BlackPearl,cc:a4:62:83:4b:c0,-58,-53,-53,-57,-55.25
